order_detail_id,order_id,product_id,unit_price,quantity,discount_pct
1,10001,9,116.5,8,0.0
2,10001,39,109.29,4,0.05
3,10001,20,50.18,1,0.05
4,10002,6,98.91,1,0.0
5,10003,10,101.47,7,0.0
6,10004,23,61.08,2,0.0
7,10004,33,57.15,3,0.0
8,10004,15,46.84,5,0.0
9,10004,39,109.29,10,0.1
10,10005,35,8.05,11,0.0
11,10005,20,50.18,2,0.0
12,10005,15,46.84,1,0.0
13,10005,10,101.47,4,0.0
14,10005,30,69.93,2,0.0
15,10006,15,46.84,4,0.0
16,10006,5,101.55,4,0.0
17,10007,5,101.55,5,0.0
18,10007,13,114.89,5,0.0
19,10008,25,14.8,3,0.0
20,10008,26,14.59,2,0.0
21,10009,1,62.88,7,0.05
22,10009,12,69.84,6,0.15
23,10009,11,32.43,1,0.0
24,10009,39,109.29,9,0.15
25,10009,32,116.09,10,0.0
26,10010,34,93.85,1,0.0
27,10010,3,10.4,4,0.0
28,10010,19,86.86,8,0.0
29,10010,31,73.9,3,0.0
30,10010,7,81.41,3,0.1
31,10011,18,108.62,8,0.05
32,10011,14,95.13,2,0.15
33,10011,26,14.59,8,0.0
34,10011,16,58.51,10,0.0
35,10011,33,57.15,10,0.0
36,10012,11,32.43,3,0.0
37,10012,4,33.05,8,0.05
38,10012,29,24.79,2,0.0
39,10013,27,29.04,6,0.0
40,10013,23,61.08,1,0.0
41,10014,26,14.59,8,0.0
42,10014,3,10.4,7,0.0
43,10014,4,33.05,11,0.0
44,10014,11,32.43,10,0.0
45,10015,31,73.9,1,0.0
46,10015,9,116.5,3,0.0
47,10015,21,57.6,4,0.1
48,10015,25,14.8,9,0.0
49,10015,8,58.59,3,0.05
50,10016,24,30.57,11,0.0
51,10016,10,101.47,7,0.0
52,10016,23,61.08,6,0.0
53,10017,32,116.09,11,0.0
54,10017,29,24.79,8,0.0
55,10017,14,95.13,2,0.0
56,10018,27,29.04,9,0.0
57,10018,28,85.1,6,0.0
58,10018,34,93.85,10,0.0
59,10018,33,57.15,2,0.0
60,10019,1,62.88,7,0.0
61,10019,9,116.5,6,0.05
62,10019,10,101.47,7,0.0
63,10019,24,30.57,5,0.0
64,10019,13,114.89,2,0.0
65,10020,32,116.09,4,0.0
66,10021,3,10.4,7,0.0
67,10021,10,101.47,7,0.0
68,10021,35,8.05,5,0.0
69,10021,33,57.15,7,0.05
70,10021,28,85.1,5,0.0
71,10022,16,58.51,11,0.0
72,10022,13,114.89,9,0.0
73,10022,4,33.05,1,0.0
74,10022,18,108.62,11,0.0
75,10022,25,14.8,11,0.05
76,10023,29,24.79,11,0.1
77,10023,26,14.59,8,0.1
78,10023,5,101.55,9,0.0
79,10024,30,69.93,6,0.0
80,10024,14,95.13,9,0.0
81,10024,13,114.89,2,0.0
82,10025,22,14.71,6,0.05
83,10025,21,57.6,9,0.0
84,10026,35,8.05,5,0.0
85,10026,19,86.86,7,0.0
86,10026,22,14.71,9,0.0
87,10026,37,117.72,4,0.0
88,10027,19,86.86,3,0.1
89,10027,7,81.41,1,0.0
90,10027,39,109.29,9,0.05
91,10027,27,29.04,4,0.1
92,10027,23,61.08,1,0.0
93,10028,9,116.5,3,0.05
94,10028,32,116.09,11,0.15
95,10028,13,114.89,10,0.0
96,10028,5,101.55,7,0.0
97,10028,37,117.72,5,0.0
98,10029,29,24.79,11,0.0
99,10029,8,58.59,6,0.0
100,10030,14,95.13,6,0.05
101,10030,9,116.5,9,0.0
102,10030,10,101.47,10,0.15
103,10031,17,64.07,5,0.1
104,10031,22,14.71,11,0.0
105,10032,31,73.9,4,0.1
106,10032,34,93.85,3,0.05
107,10032,14,95.13,1,0.0
108,10032,37,117.72,6,0.0
109,10033,37,117.72,10,0.0
110,10033,5,101.55,5,0.1
111,10034,40,22.07,1,0.0
112,10034,15,46.84,8,0.0
113,10034,18,108.62,1,0.0
114,10034,5,101.55,10,0.0
115,10035,17,64.07,7,0.15
116,10035,40,22.07,4,0.05
117,10035,20,50.18,9,0.0
118,10035,30,69.93,7,0.0
119,10035,23,61.08,11,0.0
120,10036,3,10.4,7,0.0
