order_id,customer_id,order_timestamp,order_status,sales_channel
500001,100282,2025-01-01 03:54:20,Completed,Web
500002,100780,2025-01-01 04:33:52,Completed,Mobile
500003,100047,2025-01-01 05:11:42,Completed,Web
500004,100734,2025-01-01 07:05:09,Cancelled,Web
500005,100635,2025-01-01 14:16:38,Completed,Mobile
500006,100618,2025-01-01 14:47:31,Completed,Web
500007,100823,2025-01-01 19:54:45,Completed,Web
500008,100246,2025-01-01 22:53:02,Completed,Mobile
500009,100216,2025-01-02 00:37:28,Completed,Mobile
500010,100930,2025-01-02 04:07:44,Completed,Web
500011,100575,2025-01-02 05:06:12,Completed,Mobile
500012,100437,2025-01-02 06:54:37,Completed,Web
500013,100928,2025-01-02 11:22:06,Completed,Web
500014,100628,2025-01-02 20:59:26,Completed,Web
500015,100222,2025-01-02 22:53:41,Completed,Web
500016,100218,2025-01-03 03:04:13,Completed,Mobile
500017,100042,2025-01-03 05:35:23,Completed,Web
500018,100992,2025-01-03 10:44:52,Completed,Mobile
500019,100219,2025-01-03 12:14:08,Completed,Web
500020,100125,2025-01-03 15:42:26,Completed,Web
500021,100926,2025-01-03 17:02:07,Processing,Mobile
500022,100785,2025-01-03 19:12:11,Completed,Mobile
500023,100582,2025-01-03 20:47:59,Processing,Mobile
500024,100737,2025-01-04 02:43:07,Completed,Mobile
500025,100977,2025-01-04 07:12:14,Shipped,Web
500026,100360,2025-01-04 10:48:39,Completed,Web
500027,100405,2025-01-04 19:00:41,Completed,Web
500028,100860,2025-01-04 23:53:24,Cancelled,Web
500029,100201,2025-01-05 00:58:45,Completed,Web
500030,100331,2025-01-05 01:03:36,Completed,Mobile
500031,100733,2025-01-05 02:51:21,Shipped,Mobile
500032,100898,2025-01-05 04:58:57,Completed,Mobile
500033,100150,2025-01-05 08:25:53,Completed,Mobile
500034,100558,2025-01-05 10:23:14,Completed,Web
500035,100163,2025-01-05 14:25:16,Completed,Web
500036,100183,2025-01-05 19:50:49,Completed,Web
500037,100176,2025-01-06 06:08:47,Processing,Mobile
